"STATION","NAME","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WDMV"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-03-30","0.00","0.0","0.0","88","65","77","47.8"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-03-31","0.00","0.0","0.0","98","72","76","67.1"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-04-01","0.00","0.0","0.0","103","65","69","39.8"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-04-02","0.00","0.0","0.0","103","69","82","23.0"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-04-03","0.00","0.0","0.0","96","72","73","123.0"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-04-04","0.00","0.0","0.0","88","62","65","39.8"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-04-05","0.00","0.0","0.0","85","53","63","3.7"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-04-06","0.00","0.0","0.0","92","51","76","18.0"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-04-07","0.00","0.0","0.0","92","65","72","49.7"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-04-08","0.00","0.0","0.0","79","51","55","88.9"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-04-09","0.00","0.0","0.0","61","49","55","75.8"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-04-10","0.00","0.0","0.0","73","50","58","13.0"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-04-11","0.00","0.0","0.0","81","53","60","28.0"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-04-12","0.00","0.0","0.0","81","55","64","16.2"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-04-13","0.00","0.0","0.0","91","64","69","49.1"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-04-14","0.00","0.0","0.0","88","61","65","111.8"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-04-15","0.00","0.0","0.0","84","56","58","29.2"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-04-16","0.00","0.0","0.0","92","58","67","16.8"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-04-17","0.00","0.0","0.0","100","67","73","28.0"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-04-18","0.00","0.0","0.0","102","73","80","3.7"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-04-19","0.00","0.0","0.0","97","73","75","80.2"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-04-20","0.00","0.0","0.0","94","72","75","42.3"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-04-21","0.00","0.0","0.0","91","71","77","49.1"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-04-22","0.00","0.0","0.0","92","67","76","49.1"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-04-23","0.00","0.0","0.0","92","71","74","47.8"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-04-24","0.00","0.0","0.0","91","71","75","39.8"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-04-25","0.00","0.0","0.0","93","65","74","57.8"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-04-26","0.00","0.0","0.0","95","68","71","70.2"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-04-27","0.00","0.0","0.0","89","64","72","55.3"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-04-28","0.00","0.0","0.0","92","63","69","31.1"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-04-29","0.00","0.0","0.0","98","69","71","73.9"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-04-30","0.00","0.0","0.0","86","57","65","88.9"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-05-01","0.00","0.0","0.0","83","60","68","95.1"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-05-02","0.00","0.0","0.0","87","59","66","49.1"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-05-03","0.00","0.0","0.0","94","60","73","28.0"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-05-04","0.00","0.0","0.0","99","73","84","32.9"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-05-05","0.00","0.0","0.0","101","69","75","39.8"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-05-06","0.00","0.0","0.0","105","75","82","26.1"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-05-07","0.00","0.0","0.0","108","80","87","47.2"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-05-08","0.00","0.0","0.0","105","79","81","52.8"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-05-09","0.06","0.0","0.0","94","61","70","101.9"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-05-10","0.01","0.0","0.0","75","59","65","41.0"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-05-11","0.00","0.0","0.0","90","65","75","39.1"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-05-12","0.00","0.0","0.0","97","73","82","29.8"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-05-13","0.00","0.0","0.0","104","76","85","34.2"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2011-05-14","0.00","0.0","0.0","106","81","84","49.7"
